"WBS #","Name / Title",Type,"Start Date","End Date","Estimated Hours","Actual Hours","Percent Complete",Resources,Predecessors,Notes,Comments,"Task Color"
1,"Capstone Project",project,2020-01-27,2020-04-10,0,0,56.2,,,,,
1.1,"Week 1 - Concept",group,2020-01-27,2020-02-07,0,0,96.67,,,,,
1.1.1,"Finish re-writing capstone proposal",task,2020-01-27,2020-01-31,0,0,80,,,,,blue2
1.1.2,"Capstone Proposal",milestone,2020-02-01,2020-02-01,0,0,100,,1.1.1,,,blue2
1.1.3,"Setting Up Server and Installing Proper Softwar",task,2020-01-27,2020-01-29,0,0,100,,,,,blue2
1.1.4,"Setting Up Project in Project Management System (SEO, Social Media, Analytics)",task,2020-01-27,2020-01-29,0,0,100,,,,,blue2
1.1.5,"Wireframe the website",task,2020-01-30,2020-02-07,0,0,100,,,,,blue2
1.1.6,"Start to write up the content",task,2020-01-30,2020-02-07,0,0,100,,,,,blue2
1.2,"Week 2 – Branding & Design",group,2020-02-01,2020-02-11,0,0,100,,,,,
1.2.1,Wireframe,milestone,2020-02-08,2020-02-08,0,0,100,,"1.1.2,1.1.5",,,blue2
1.2.2,"Branding Guidelines",task,2020-02-01,2020-02-07,0,0,100,,,,,blue2
1.2.3,Branding,milestone,2020-02-09,2020-02-09,0,0,100,,"1.1.2,1.2.2",,,blue2
1.2.4,"Home Page",task,2020-02-06,2020-02-09,0,0,100,,,,,blue2
1.2.5,Navigation,task,2020-02-06,2020-02-09,0,0,100,,,,,blue2
1.2.6,Footer,task,2020-02-06,2020-02-09,0,0,100,,,,,blue2
1.2.7,Header,task,2020-02-06,2020-02-09,0,0,100,,,,,blue2
1.2.8,Styling,task,2020-02-06,2020-02-09,0,0,100,,,,,blue2
1.2.9,"Website Design Outline",milestone,2020-02-11,2020-02-11,0,0,100,,"1.2.1,1.2.3,1.2.4,1.2.5,1.2.6,1.2.7,1.2.8",,,blue2
1.2.10,"Wearable Device Delivery",task,2020-02-06,2020-02-07,0,0,100,,,,,green1
1.2.11,"Wearable Delivered",milestone,2020-02-08,2020-02-08,0,0,100,,1.2.10,,,blue2
1.2.12,"Cybersecurity check on wearables",task,2020-02-06,2020-02-09,0,0,100,,,,,green1
1.3,"Week 3 – The Foundation",group,2020-02-15,2020-02-23,0,0,100,,,,,
1.3.1,"Set Up GitHub Repo",task,2020-02-15,2020-02-18,0,0,100,,,,,blue2
1.3.2,"WhitePaper, research Reads",task,2020-02-15,2020-02-23,0,0,100,,,,,green1
1.3.3,"Contact Form",task,2020-02-15,2020-02-23,0,0,100,,,,,blue2
